,Postion,Name,Team,Score
0,1.,Christian Wood,HOU,39
1,2.,LeBron James,LAL,38
2,3.,Kevin Durant,BKN,37
3,4.,Jayson Tatum,BOS,36
4,5.,Tre Mann,OKC,35
