,Postion,Name,Team,Score
0,1.,Jimmy Butler,MIA,11
1,1.,Brandon Williams,POR,11
2,3.,Jayson Tatum,BOS,9
3,4.,Saddiq Bey,DET,8
4,4.,Kristaps Porzingis,WAS,8
