,Postion,Name,Team,Score
0,1.,Christian Wood,HOU,8
1,2.,Tre Mann,OKC,7
2,3.,D.J. Augustin,LAL,6
3,3.,Reggie Bullock,DAL,6
4,3.,Kyle Lowry,MIA,6
