,Postion,Name,Team,Score
0,1.,Jonas Valanciunas,NOP,18
1,2.,Kristaps Porzingis,WAS,13
2,2.,Isaiah Stewart,DET,13
3,2.,Nikola Vucevic,CHI,13
4,5.,LeBron James,LAL,11
