,Postion,Name,Team,Score
0,1.,Cade Cunningham,DET,4
1,2.,Jordan Clarkson,UTA,3
2,2.,CJ Elleby,POR,3
3,2.,Al Horford,BOS,3
4,2.,Stanley Johnson,LAL,3
