,Postion,Name,Team,Score
0,1.,Cade Cunningham,DET,9
1,2.,Luka Doncic,DAL,8
2,3.,Donovan Mitchell,UTA,6
3,4.,Bam Adebayo,MIA,4
4,4.,Kevin Durant,BKN,4
