,Postion,Name,Team,Score
0,1.,Kristaps Porzingis,WAS,5
1,2.,Bam Adebayo,MIA,3
2,2.,DeMar DeRozan,CHI,3
3,2.,Al Horford,BOS,3
4,2.,Royce O'Neale,UTA,3
